Stock Code,Investment_2019,Predicted_Investment_2019
900956,426.652254,-20012.05198947835
900933,14590.0619,11245.832279481925
900953,257.642,4719.098586416221
900951,380.72475,17012.79456434265
900922,385.7505085,15836.386466368916
900915,222.5017893,54256.56191383221
900916,132.868736,74986.7065195805
900948,5268.304152,30792.937287062116
900924,1953.088251,19079.63393776171
900947,28048.31772,30435.83534917346
900921,560.8350884,64576.604697984
900936,4912.51068,16525.676474851847
900946,34.1734,46303.01677704684
900920,843.0236706,37311.09720640292
900918,481.9892578,12848.807996331656
900925,2496.995824,57520.72663058451
600759,90447.25223,32042.953356964048
655,36660.31431,53651.73244964791
600766,10225.72429,35201.871496002364
505,29854.6682,49445.06812662183
639,31480.98828,84586.47711976292
600882,13409.30173,3809.6073158270447
600137,8457.578514,23187.28159331536
600735,17009.57191,42639.96502789343
600793,7096.117193,10958.42257890862
509,18401.1351,30312.27033549681
659,12227.64809,57204.48906105623
637,16281.67083,23791.04848349816
819,11691.64313,34996.91235016426
600691,31093.38819,56251.10533328372
677,15552.88219,40151.91104653879
703,96257.85982,126994.18524448271
672,132425.1579,81806.92428643967
600668,14060.48326,68797.25014583487
600678,5043.881102,17740.549394534784
600881,83039.0922,153891.14976195747
600883,26211.54743,11521.638952161942
519,64349.31989,18725.06644321757
600879,76005.45568,71594.93945055176
760,9272.604737,26228.42654329515
584,5744.393802,52498.10921903694
1696,10801.23042,39923.14924153726
200550,35779.98961,9950.586148693634
600660,1080080.785,735368.303955814
200055,6746.1937,14645.574736554467
601882,58897.4166,63611.34710323828
200986,3242.508896,36009.66180520196
603169,119884.3107,-3676.661024717265
600711,177010.1104,143383.01007959346
603690,4468.473562,3222.544902779162
601212,138984.1804,112958.83048100944
600686,19562.62994,54721.83569170558
200625,31950.45844,64955.649887986016
200992,2288.799828,25084.555292401405
200726,4387.971001,35032.408840902324
601865,15846.20745,29323.976511351124
600139,32032.1405,53751.99687087949
600968,56590.9566,40987.161270369485
200771,10680.23544,35962.25025609892
601766,921522.6989,1174522.4331798921
695,25607.90012,44010.93334840855
600362,220028.047,484961.23018330766
2785,32632.36501,63487.646087058354
200761,20030.2998,3109.507535742072
200581,6241.671508,50564.34312521835
200505,697.4772888,9685.92665112589
2703,2040.582919,35950.106983824924
600429,25764.59569,46850.576901302265
200706,1288.580592,21877.61224808707
600871,259522.1143,245099.64422260656
525,26871.0366,46630.783608769765
600802,32265.54476,54476.16782297345
601005,218737.3562,162989.62289664405
2265,24963.47863,49169.92742246576
200530,4880.056309,50580.58420488617
552,73486.85669,93711.52620248758
603993,375460.9638,785003.6984756201
600688,601733.3025,374676.5784484139
600855,60417.67525,23954.503194598714
600176,575383.4152,575919.1280452749
600567,111510.0556,212780.60962507327
300591,13117.41185,30691.785069859063
601968,25379.2571,67224.81406008697
553,39131.8377,71554.69407583063
600800,9917.583832,4745.51499796944
23,4555.718955,4080.054654220119
600965,25458.52547,60531.69021686254
506,11404.84464,21391.029564675177
510,12780.95111,39932.17228318256
600699,110845.7793,93228.93603977031
200869,9001.501548,26954.52580425702
600182,14567.48207,53963.77355795691
600188,247835.3279,303039.61594294175
752,6588.555204,18060.25464751915
12,111878.4484,128700.00567191053
2105,10805.5255,29366.193895076285
600808,47652.91096,100643.55805953586
600371,47516.47106,47249.92085252487
